,,,,,,,,Port,Country,2014
179,Nawiliwili (FY),United States,48,,,,,,,
180,Tampa ,United States,47,,,,,,,
181,Imbituba,Brazil,41,,,,,,,
182,Santo Domingo (I. T. S. S.),Dominican Republic,40,,,,,,,
183,Hilo (FY),United States,39,,,,,,,
184,Puerto Plata,Dominican Republic,39,,,,,,,
185,Panama City,United States,37,,,,,,,
186,Mazatlan,Mexico,34,,,,,,,
187,Natal,Brazil,31,,,,,,,
188,Belem,Brazil,25,,,,,,,
189,Nanaimo,Canada,24,,,,,,,
190,Everett,United States,23,,,,,,,
191,Matarani,Peru,21,,,,,,,
192,Itaqui,Brazil,19,,,,,,,
193,Manatee,United States,14,,,,,,,
194,Portland(ME),United States,12,,,,,,,
195,Puerto Morelos,Mexico,10,,,,,,,
196,Guaymas,Mexico,10,,,,,,,
197,Porto Velho,Brazil,9,,,,,,,
198,Fernandina,United States,9,,,,,,,
199,Kalaeloa Barbers Point (fy),United States,9,,,,,,,
200,Stockton,United States,8,,,,,,,
201,Beaumont,United States,7,,,,,,,
202,San Lorenzo,Honduras,7,,,,,,,
203,Manzanillo,Dominican Republic,6,,,,,,,
204,Boca Chica,Dominican Republic,4,,,,,,,
205,Chacabuco,Chile, 	3 ,,,,,,,
206,Toronto,Canada,3,,,,,,,
207,Ilo,Peru,3,,,,,,,
208,Kaumalapau (HI) (fy),United States,2,,,,,,,
209,Kaunakakai (FY),United States,2,,,,,,,
210,Arica,Peru,1,,,,,,,
211,Macapa,Brazil,1,,,,,,,
212,Recife,Brazil,1,,,,,,,
213,Vancouver(WA),United States,1,,,,,,,
214,Santarem,Brazil,1,,,,,,,
215,Coatzacoalcos,Mexico,1,,,,,,,
216,Lake Charles,United States,0,,,,,,,
217,Salaverry,Peru,0,,,,,,,
218,Canaveral,United States,0,,,,,,,
219,Greater Baton Rouge,United States,0,,,,,,,
220,Sao Sebastiao,Brazil,0,,,,,,,
221,Tampico,Mexico,0,,,,,,,
222,Salina Cruz,Mexico,0,,,,,,,
223,Dos Bocas,Mexico,0,,,,,,,
224,Hamilton,Canada,0,,,,,,,
225,Tuxpan,Mexico,0,,,,,,,
226,Iquitos,Peru,0,,,,,,,
227,Yurimaguas,Peru,0,,,,,,,
228,Grays Harbor,United States,0,,,,,,,
229,Longview,United States,0,,,,,,,
230,Olympia,United States,0,,,,,,,
231,Richmond(CA),United States,0,,,,,,,
232,San Francisco,United States,0,,,,,,,
233,Brunswick(GA),United States,0,,,,,,,
234,Camden ,United States,0,,,,,,,
235,Eastport (ME),United States,0,,,,,,,
236,Fort Pierce (fy),United States,0,,,,,,,
237,Ponce,United States,0,,,,,,,
238,Portsmouth (NH),United States,0,,,,,,,
239,Richmond(VA),United States,0,,,,,,,
240,Seybaplaya,Mexico,0,,,,,,,
241,Brownville (TX),United States,0,,,,,,,
242,Corpus Christi,United States,0,,,,,,,
243,Galveston,United States,0,,,,,,,
244,Pensacola,United States,0,,,,,,,
245,Port Arthur,United States,0,,,,,,,
246,Saint Bernard,United States,0,,,,,,,
247,Angra dos Reis,Brazil,0,,,,,,,
248,"B, do Riacho",Brazil,0,,,,,,,
249,Belmonte,Brazil,0,,,,,,,
250,,,,,,,,,,
251,,,,,,,,,,
